Title,Link,Description,Tags
Mahila Samruddhi Yojana (DAADC),https://www.myscheme.gov.in/schemes/msydaadc,"The scheme aims to promote self-employment and financial independence among women from the Antyodaya Samaj, especially from Scheduled Castes. Under this scheme, loan up to ₹50,000/- is provided at a concessional interest rate to eligible women for starting small-scale businesses.","Loan, Woman, Scheduled Caste, Self-employment, Antyodaya Samaj"
Jhota Buggi/Camel/Mule Cart Scheme (HSFDC),https://www.myscheme.gov.in/schemes/jbcmcshsfdc,"Under this scheme, the Corporation provides loans to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for purchasing animal-driven carts such as Jhota Buggis, camel carts, and mule carts.","Jhota Buggi, Camel Cart, Mule Cart, HSFDC, BPL, Scheduled Caste, Loan"
Jute Raw Material Bank Scheme,https://www.myscheme.gov.in/schemes/jrmbs,"Jute Raw Material Bank Scheme (JRMB) will be set up in the local clusters across the country in collaboration with bonafide Agencies who have adequate experience in similar activities and have the required storage, display, and selling infrastructure.","Raw Material, Jute, Operating Agencies, WSHGs, Small Units"
Micro Credit Finance under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/mcfnskfdc-h,"Under this scheme, loan is provided to Safai Karamchari and their dependents for projects with a maximum cost up to ₹1,00,000/- per beneficiaries for small and petty trade/business and various income generating activities.","Micro Credit, NSKFDC, Safai Karamcharis, Loan, Self-employment, HSFDC"
Micro Finance (GBCDC),https://www.myscheme.gov.in/schemes/mfgbcdc,"The scheme aims to create self-employment for the backwards class men. Through this scheme, low interest rates and financial help are provided to the backwards class men.","Self Employment, Backward Classes, Educationally Backward Class, Socially Backward Class, Business"
Micro Finance Scheme for Self Help Groups (GTKVN),https://www.myscheme.gov.in/schemes/mfsfshg,"The scheme aims to economically empower women from Thakor and Koli castes through self-employment opportunities via Self Help Groups (SHGs). Under this scheme, eligible members of SHGs receive a loan up to ₹60,000/- at low interest to start or expand small-scale businesses/enterprises.","SHG, Business, Loan, Enterpreneurship, Self-employment, Thakor Caste, Koli Caste"
Microcredit Finance Scheme- Self Help Groups (DAADC),https://www.myscheme.gov.in/schemes/mfs-shg,The scheme aims to promote self-employment for SC individuals. It offers microloans to start small businesses and become economically self-sufficient.,"SHGs, Loan, Self-employment, Business, Unemployment"
Mobile Food Court Van (DAADC),https://www.myscheme.gov.in/schemes/mfcvs,"The scheme aims to generate self-employment opportunities in the food and beverage sector by providing credit to unemployed scheduled caste individuals belonging to Antyodaya families. Under this scheme, loans are provided to the eligible beneficiaries at a concessional interest rate.","Loan, Self-employment, Scheduled Caste, Antyodaya, Food Court Van"
Swayam Saksham Yojana (GBCDC),https://www.myscheme.gov.in/schemes/sssgbcdc,"This scheme aims to instill a sense of self-reliance in the youth belonging to backward classes after receiving vocational education/training. Under this scheme, eligible youth are provided loans at a low-interest rate to start self-employment ventures.","Enterpreneurship, Loan, Backward Classes, Youth, Self-employment"
Swayam Saksham Yojana (GTKVN),https://www.myscheme.gov.in/schemes/sssgtkdc,"The scheme aims to promote economic self-reliance among professionally educated unemployed youth from Thakor & Koli communities, aged between 18 & 35 years, who hold degrees in fields such as Pharmacy, Software/Hardware, Automobile Engineering, Law, Chartered Accountancy, & others.","Enterpreneurs, Self-employment, Youth, Loan, Thakor, Koli"
Term Loan Scheme (GSKVN),https://www.myscheme.gov.in/schemes/dcs-tl,"The scheme aims to uplift scavengers & their dependents by offering term loans of ₹1,00,000/- to ₹15,00,000/- to support them in starting self‐employment ventures in various trades & professions, enabling them to pursue income‐generating activities and lead dignified lives.","Loan, Self-employment, Safai Kamdar, Scavenger"
Term Loan Scheme (GTKVN),https://www.myscheme.gov.in/schemes/tlsbgtkvn,"The scheme aims to promote self-employment among individuals from the Thakor and Koli communities by providing financial assistance up to ₹10,00,000/- for agriculture and allied activities, small-scale businesses, craftsmanship, traditional occupations, and service-based businesses/trades.","Loan, Thakor Caste, Koli Caste, Self-employment, Small Business"
Scholarship Scheme for Girl Children of Jute Mills / MSMEs Workers,https://www.myscheme.gov.in/schemes/ssfgcojmmw,"National Jute Board Act, 2008 provides to “secure better working conditions and provisions and improve amenities and incentives for workers engaged in the jute industry.”","Scholarship, Worker Children, Girl, Education, Welfare"
Trade and Business Sector Scheme (HSFDC),https://www.myscheme.gov.in/schemes/tbsshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from BPL families, whose annual family income does not exceed ₹1,80,000/-, in both rural & urban areas for various self-employment income-generating activities such as running a stationery shop, kiryana shop, cloth shop, etc.","Trade, Business, HSFDC, Loan, BPL, Scheduled Caste, Self-employment"
Sheep Rearing Scheme (HSFDC),https://www.myscheme.gov.in/schemes/srshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income generating activities such as sheep rearing.","Sheep Rearing, HSFDC, Loan, BPL, Scheduled Caste, Self-employment"
Atal Beemit Vyakti Kalyan Yojana,https://www.myscheme.gov.in/schemes/abvky,The scheme “Atal Beemit Vyakti Kalyan Yojana (ABVKY)” was introduced by the Employees’ State Insurance Corporation (ESIC) on a pilot basis for a period of 2 years w.e.f. 01.07.2018 for providing relief to the Insured Persons (IPs) who have become unemployed.,"Atal, Employee, Insurance, Insured Person, Unemployment"
Bankable Scheme,https://www.myscheme.gov.in/schemes/bsg,"The scheme aims to provide financial assistance to scheduled caste persons for self-employment opportunities. Under this scheme, loans are provided for business, industry, or service activities, along with a subsidy of 50% of the loan amount or a maximum of ₹50,000/-.","Startup, Business, Loan, Subsidy, Scheduled Caste"
Dr Ambedkar Central Sector Scheme of Interest Subsidy on Educational Loans for Overseas Studies for Other Backward Classes (OBCs) and Economically Backward Classes (EBCs),https://www.myscheme.gov.in/schemes/dacssiselosobcebc,"The scheme provides interest subsidy to the students belonging to the OBCs and EBCs on the interest payable for the period of the moratorium for the Education Loans for overseas studies to pursue approved courses of studies abroad at Masters, M.Phil. and PhD level.","Loan, Subsidy, Interest, Education, Other Backward Class, Economically Backward Class"
Amended Technology Upgradation Fund,https://www.myscheme.gov.in/schemes/atuf,"The Ministry of Textiles introduced the Amended Technology Upgradation Fund Scheme (ATUFS). This scheme aims to facilitate investment, employment, productivity, quality and import and export substitution in the textile industry.","Investment, Employment, Productivity, Import, Export"
Dairy Farming Scheme (HSFDC),https://www.myscheme.gov.in/schemes/dfshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income generating activities such as dairy farming.","Dairy Farming, HSFDC, Loan, Self-employment, Subsidy, BPL"
Direct Finance Scheme by NSFDC (GSCDC),https://www.myscheme.gov.in/schemes/dfsbnsfdc,"Under this scheme, loans are offered at a low interest rate, ranging from 1% to 5%, specifically for self-employment to scheduled caste (SC) individuals.","Self-employment, Scheduled Caste, Loan, Unemployed, Interest Rate"
Assam Abhinandan Education Loan Subsidy Scheme,https://www.myscheme.gov.in/schemes/aaelss,"""Assam Abhinandan Education Loan Subsidy Scheme"" was launched on 26 December 2019 by the Hon'ble Chief Minister of Assam. The scheme is managed by the Finance Department, Govt. of Assam. The govt. will provide a loan subsidy of up to ₹ 50,000 on education loans to students pursuing higher education.","Education, Loan, Student"
Poultry Farming Scheme (HSFDC),https://www.myscheme.gov.in/schemes/pfshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income generating activities such as poultry farming.","Poultry Farming, HSFDC, Scheduled Caste, Loan, Self-employment, Subsidy"
NPS Vatsalya Scheme,https://www.myscheme.gov.in/schemes/npsvs,"The “NPS Vatsalya” is a pension-cum-saving scheme designed for minors, regulated by PFRDA. It aims to secure the financial future of minors by offering a structured pension scheme, with contributions managed by a guardian until the minor turns 18.","NPS, Minor, Pension Fund, PFRDA, Saving Cum Pension, Financial"
Professional and Self Employment Scheme (HSFDC),https://www.myscheme.gov.in/schemes/pseshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from BPL families, whose annual family income does not exceed ₹1,80,000/-, in rural & urban areas. These loans support self-employment activities in fields such as legal profession, Chartered Accountancy, medical practice etc.","Professional, Self Employment, HSFDC, Loan, BPL, Scheduled Caste"
Raw Material Assistance Scheme,https://www.myscheme.gov.in/schemes/rmas,Raw Material Assistance Scheme aims to help MSMEs by way of financing the purchase of Raw Material (Both indigenous & imported). This gives an opportunity to MSMEs to focus better on manufacturing quality products.,"NSIC, MSME, Raw Material, Credit Support"
New Akanksha Scheme (Educational Loan) (GTKVN),https://www.myscheme.gov.in/schemes/elsgtkdc,"Under this scheme, education loans are provided at subsidized interest rates to students belonging to Thakor and Koli communities for pursuing graduate and postgraduate studies in fields such as engineering, medical, MBA, and MCA.","Professional Education, Technical Education, Graduate, Postgraduate, Education Loan, Thakor Caste, Koli Caste"
New Akanksha Scheme (Higher Education Loan) (GGDC),https://www.myscheme.gov.in/schemes/newakankshaggvn,"This scheme provides educational loans of up to ₹15.00 lakh to students belonging to the Rabari and Bharwad castes from socially and educationally backward classes for pursuing higher professional courses such as medical, dental, engineering, pharmacy, etc.","Higher Education, Loan, Rabari Caste, Bharwad Caste, Student"
New Swarnima Scheme For Women,https://www.myscheme.gov.in/schemes/nssw,"A term loan scheme by the Ministry of Social Justice and Empowerment for women entrepreneurs from backward classes to obtain a loan of up to ₹2,00,000/- @ 5% per annum, thereby providing them social & financial security.","Entrepreneur, Women, Business, Empowerment, Backward Class, Financial Assistance"
Piggery Farming Scheme (HSFDC),https://www.myscheme.gov.in/schemes/pfs-hsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income-generating activities such as piggery farming.","Piggery Farming, HSFDC, Loan, BPL, Scheduled Caste, Self-employment, Subsidy"
Pashu Palan Yojana (GTKVN),https://www.myscheme.gov.in/schemes/pgtkvn,"The scheme aims to enhance the livelihoods of Thakor and Koli communities by providing financial assistance for animal husbandry activities such as dairy farming. Under this scheme, loans of up to ₹1,00,000/- are provided for the purchase of milch animals such as cows and buffaloes.","Loan, Thakor Caste, Koli Caste, Animal Husbandry, Self-employment"
Pashu Palan Yojana (GSKVN),https://www.myscheme.gov.in/schemes/ahsgskvn,"Under this scheme, loans of up to ₹1,00,000 are provided to sanitation workers and their dependents at an interest rate of 6% for self-employment in animal husbandry or related activities.","Loan, Animal Husbandry, Sanitation Worker, Self-employment, Scavenger"
Passenger Auto Rickshaw Loan Scheme (DAADC),https://www.myscheme.gov.in/schemes/parls,"The ""Passenger Auto Rickshaw Loan Scheme"" introduced by the Social Justice and Empowerment Department offers financial assistance in the form of loans to Scheduled Caste individuals from Antyodaya families to purchase passenger auto rickshaws and enhance their livelihood opportunities.","Passenger Auto Rickshaw Loan, Antyodaya, Scheduled Caste, Employment"
Passenger Vehicle/Loading Vehicle Loan Scheme (DAADC),https://www.myscheme.gov.in/schemes/pvlvls,"The ""Passenger Vehicle/Loading Vehicle Loan Scheme"" introduced by the Social Justice and Empowerment Department provides financial support to unemployed individuals from Antyodaya Caste for purchasing passenger or freight vehicles.","Passenger Vehicle Loan, Loading Vehicle Loan, Antyodaya, Employment, Scheduled Caste"
Vehicle Loan Scheme (GTKVN),https://www.myscheme.gov.in/schemes/tsgtkvn,"The scheme aims to promote self-employment among youth from the Thakor and Koli communities by providing loans of up to ₹4,00,000/- for the purchase of commercial vehicles such as auto-rickshaws, loading rickshaws, or a Maruti Eeco van to start an income-generating transport business.","Loan, Self Employment, Auto Rickshaw, Vehicle, Transport"
Pradhan Mantri Kisan Maandhan Yojana,https://www.myscheme.gov.in/schemes/pmkmdy,"The scheme aims to provide old-age social security through a minimum assured monthly pension of ₹ 3,000/- to Small and Marginal Farmers after attaining the age of 60 years.","Small And Marginal Farmer, Social Security, Old Age Pension, Family Pension"
Loan Based Schemes For Safai Karamchari - Education Loan Scheme (ELS),https://www.myscheme.gov.in/schemes/lbssf-els,"An Education Loan scheme by the Ministry of Social justice and Empowerment for Safai Karamchari, Manual Scavengers, and their dependents aged 18 years and above.","Professional Course, Technical Course, Education Loan, Student, Manual Scavengers, Waste Pickers, Safai Karamcharis"
"""Interest Subvention on Working Capital"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/iswc-atisis,"The scheme aims to ensure long term financial sustainability of the Tea industry and incentivize Orthodox tea production over Crush, Tear, Curl tea. It provides interest subvention, production subsidies, plant & machinery subsidies, tax holidays to tea plantations and manufacturing units in Assam.","Subsidy, Capital, Interest, Incentive, Industry"
"""Orthodox or Specialty Tea Production Subsidy"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/ostps-atisis,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.","Subsidy, Tea, Production, Incentive, Industry"
"""Subsidy for Orthodox & Speciality Tea Unit for Plant & Machinery"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/sostupm-atisis,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.","Subsidy, Tea, Production, Incentive, Industry, Machinery"
6% Interest Subsidy on Loans taken through Banks for Study Abroad,https://www.myscheme.gov.in/schemes/6islbsa,"The scheme aims to reduce financial stress for ST students pursuing foreign education by providing up to ₹1,50,000 subsidy on interest for 3 years.","Student, Higher Education, Scheduled Tribe, Loan, Foreign Study"
AASRA Scheme,https://www.myscheme.gov.in/schemes/aasra,"The scheme “AASRA Scheme” was launched by the Department of Social Welfare, Government of Jammu & Kashmir in 2015 to provide Social Security cover to widows, Destitute, Below Poverty Line families and Breadwinners of such families whose annual income is less than ₹75000/-.","Insurance, Social Welfare, Social Security, Widow, Destitute, Below Poverty Line, Bread Winner"
6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,https://www.myscheme.gov.in/schemes/6isltvpb,"The scheme aims to support Scheduled Tribe (ST) individuals in purchasing vehicles for self-employment purposes. Under this scheme, tribal beneficiaries availing bank loans for vehicle purchase with interest subsidy. This financial support helps reduce the repayment burden on tribal entrepreneurs.","Employment, Opportunity, Subsidy, Loan, Scheduled Tribe"
Back Ended Interest Subsidy (BEIS),https://www.myscheme.gov.in/schemes/beis,"""Back Ended Interest Subsidy"" by the Govt of Tamil Nadu, is introduced with the objective of reducing financial burdens of all new micro and small manufacturing enterprises who have already availed loans from banks/ other government organizations by assisting them through a subsidy on term loans.","Interest, Subsidy, MSME, Enterprise, Loan"
Bankable Scheme,https://www.myscheme.gov.in/schemes/bsg,"The scheme aims to provide financial assistance to scheduled caste persons for self-employment opportunities. Under this scheme, loans are provided for business, industry, or service activities, along with a subsidy of 50% of the loan amount or a maximum of ₹50,000/-.","Startup, Business, Loan, Subsidy, Scheduled Caste"
Bank Tie-Up Scheme,https://www.myscheme.gov.in/schemes/btus,"Through the ""Bank Tie-Up Scheme"", the Punjab Scheduled Castes Land Development & Finance Corporation (PSCLDFC) arranges loans through banks, and subsidy is provided by PSCLDFC. The permanent residents of Punjab belonging to Scheduled Castes and living Below Poverty Line are eligible.","Loan, Scheduled Caste, Below Poverty Line, Social Welfare, Subsidy"
Assistance for Purchase of House (HBOCWWB),https://www.myscheme.gov.in/schemes/aphhbocwwb,"Under this scheme, interest free loan is provided to registered construction workers, who have minimum five year’s regular membership, for purchase or construction of their houses. This facility is available once in lifetime.","House, Building Worker, Construction Worker, Labour, Loan, Interest Free"
Atal Beemit Vyakti Kalyan Yojana,https://www.myscheme.gov.in/schemes/abvky,The scheme “Atal Beemit Vyakti Kalyan Yojana (ABVKY)” was introduced by the Employees’ State Insurance Corporation (ESIC) on a pilot basis for a period of 2 years w.e.f. 01.07.2018 for providing relief to the Insured Persons (IPs) who have become unemployed.,"Atal, Employee, Insurance, Insured Person, Unemployment"
Atal Pension Yojana,https://www.myscheme.gov.in/schemes/apy,"Atal Pension Yojana (APY) is an old age income security scheme for a  savings account holder  in the age group of 18-40 years,  who is not an income tax-payee. It helps to address longevity risks among  workers in unorganized sector and encourages the workers to voluntarily save for retirement.","Pension, Unorganized Workers, Bank Account Holders"
Atma Nirbhar Matsya Palan Yojana,https://www.myscheme.gov.in/schemes/anmpy,"The scheme aims to provide a 45% subsidy with credit linkage for fishery infrastructure to ST individuals, SHGs, and FPOs engaged in aquaculture.","Subsidy, Farmers, Scheduled Tribe, Self Help Groups, FPO, Loan"
Atma Nirbhar Pashu Palan Yojana,https://www.myscheme.gov.in/schemes/anppy,"The scheme aims to enhance rural livelihoods, promote sustainable animal husbandry practices, & contribute to self-reliance in livestock sector. Under this scheme, financial assistance is provided to unemployed individuals, SHGs, cooperative societies, etc. for livestock rearing & allied activities.","Subsidy, Farmer, SHGs, FPO, Animal Husbandry, Livestock Rearing"
Atma Nirbhar Plantation Yojana,https://www.myscheme.gov.in/schemes/anpyap,"The scheme aims to promote self-reliance in the agriculture sector through sustainable plantation activities across the state. Under this scheme, support in the form of plantation assistance and allied resources is provided to individual farmers, Self-Help Groups & Farmer Producer Organizations.","Subsidy, Farmer, SHGs, FPO, Loan, Plantation"
Bihar State Journalist Insurance Scheme,https://www.myscheme.gov.in/schemes/bsjis,"The Bihar State Journalist Insurance Scheme, 2014, is launched by the Information & Public Relations Department, Government of Bihar. It aims to provide financial benefits & facilities under a group mediclaim & personal accident insurance scheme to working media representatives in the state of Bihar","Journalist, Mediclaim, Accident, Media"
Bima Yojana - Direct Benefit to Artisan,https://www.myscheme.gov.in/schemes/bydbta,"Launched on 15th August 2022, the scheme ""Bima Yojana - Direct Benefit to Artisan (BYDBTA)"" is a Social Welfare Scheme by the Ministry of Textiles, Government of India.","Artisans, Insurance, Handicrafts, Financial Assistance"
Car Loan Scheme,https://www.myscheme.gov.in/schemes/cls-pucu,"The ""Car Loan Scheme"" aims to assist the employees of the Government of Puducherry & Employees of the Government of Puducherry undertaking for the purchase of a new car for personal use. The applications for this scheme are accepted online only.","Entrepreneur, Industry, Loan, Investment, Vehicle, Financial Assistance"
Assam Tea Plantations Provident Fund Scheme,https://www.myscheme.gov.in/schemes/atppfs,"The scheme aims to provide financial security to Assam tea plantation workers through a contributory provident fund. It benefits eligible employees earning up to ₹6,500/- per month by accumulating 12% contributions from both the worker and employer, earning interest to be paid upon retirement.","Plantation, Worker, Provident Fund, Retirement, Employee"
Amended Technology Upgradation Fund,https://www.myscheme.gov.in/schemes/atuf,"The Ministry of Textiles introduced the Amended Technology Upgradation Fund Scheme (ATUFS). This scheme aims to facilitate investment, employment, productivity, quality and import and export substitution in the textile industry.","Investment, Employment, Productivity, Import, Export"
Anganwadi Workers Welfare Fund,https://www.myscheme.gov.in/schemes/awwfu,"The scheme aims to provide financial assistance to Anganwadi workers, mini workers, and assistants of the state upon attaining the superannuation age of 60 years. A minimum amount of ₹30,000/- is granted, while those completing 20 years of service receive ₹1,30,000/-.","Anganwadi Workers, Woman, Welfare Fund, Superannuation"
Annath Pension Yojana (JBOCWWB),https://www.myscheme.gov.in/schemes/apy-jbocwwb,"""Annath Pension Yojana (JBOCWWB)"" is a scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. In case of the death of the pensioner, the pension will be payable at the rate of the family pension and will be evenly divided among orphans below 18 years of age.","Pension, Orphan, Construction Worker, Social Welfare, Financial Assistance"
Aponar Apon Ghar,https://www.myscheme.gov.in/schemes/aag,"""Aponar Apon Ghar"" is a Home Loan Subsidy Scheme by the Finance Department, Govt. of Assam. The objective is to realize the vision of “Housing For All” by 2022 so that each poor person may have their own house. All the applicants will get home loans at subsidized interest rates.","Loan, Subsidy"
Arivu Education Loan Scheme,https://www.myscheme.gov.in/schemes/aels,"The ""Arivu Education Loan Scheme,"" launched by the Minorities Welfare Department, Government of Karnataka, and implemented by the Karnataka Minorities Development Corporation, offers loans to students pursuing professional courses like MBBS, B.E., B.Tech., MBA, MCA, LLB, and others in various fields","Student, Loan, Minority Community"
Assam Abhinandan Education Loan Subsidy Scheme,https://www.myscheme.gov.in/schemes/aaelss,"""Assam Abhinandan Education Loan Subsidy Scheme"" was launched on 26 December 2019 by the Hon'ble Chief Minister of Assam. The scheme is managed by the Finance Department, Govt. of Assam. The govt. will provide a loan subsidy of up to ₹ 50,000 on education loans to students pursuing higher education.","Education, Loan, Student"
Ashraya Adhar Scheme,https://www.myscheme.gov.in/schemes/aas,"""Ashraya Adhar Scheme"" is introduced to provide financial assistance in the form of loans to the members of Scheduled Tribes for the purpose of repair, renovation/reconstruction of houses. The Goa State Scheduled Tribes Finance and Development Corporation has introduced this scheme.","House, Loan, Scheduled Tribe, Social Welfare, ST"
Aam Aadmi Bima Yojana (Maharashtra),https://www.myscheme.gov.in/schemes/aabym,"The ""Aam Aadmi Bima Yojana"" scheme is implemented by the Social Justice & Special Assistance Department, Government of Maharashtra. This Centrally Sponsored Scheme is aimed at providing insurance and scholarship benefits to landless labourers in rural areas, aged 18 to 59 years.","Insurance, Scholarship, Accident, Disability, Student"
"Self-Employment loan scheme for Minority Widows, Divorcees / Abandoned Women",https://www.myscheme.gov.in/schemes/seloanwomen,"The scheme aims to provide self-employment loans to women from minority communities. Financial assistance with a 20% subsidy is provided to widows, divorced women, and abandoned women from minority communities. The scheme is implemented by the KSMDFC.","Divorce, Women, Loan, Subsidy, Employment, Minority"
"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/aipbo-faascdmf,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" is introduced to increase marine fish production through subsidies for the annual premiums for insurance coverage paid by the mechanized boat operators.","Insurance, Boat, Marine, Fisheries, Fisherman"
"""Agricultural Income Tax Holiday"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/aith-atisis,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.","Holiday, Tea, Income Tax, Incentive, Industry"
Jute Raw Material Bank Scheme,https://www.myscheme.gov.in/schemes/jrmbs,"Jute Raw Material Bank Scheme (JRMB) will be set up in the local clusters across the country in collaboration with bonafide Agencies who have adequate experience in similar activities and have the required storage, display, and selling infrastructure.","Raw Material, Jute, Operating Agencies, WSHGs, Small Units"
Mahila Samman Savings Certificate,https://www.myscheme.gov.in/schemes/mssc,"The scheme aims to provide a secure savings option with assured returns for women. Through this scheme, 7.5% interest and flexible savings benefits are provided to women and minor girls.","Mahila, Woman, Girl, Saving, Investment"
Loan Based Schemes For Safai Karamchari - Education Loan,https://www.myscheme.gov.in/schemes/lbssf-els,The scheme aims to provide education loans to the students from the community of safai karamcharis\manual scavengers & their dependents for pursuing higher education.,"Professional Course, Technical Course, Education Loan, Student, Manual Scavengers, Waste Pickers, Safai Karamcharis"
Varishtha Pension Bima Yojana,https://www.myscheme.gov.in/schemes/vpby,"The scheme aims to provide a pension scheme for senior citizens. Through this scheme, immediate annuity, pension, and return of purchase price on death are provided to citizens aged 60 years and above.","Pension, Senior Citizens, Immediate Annuity, Return Of Purchase Price On Death, Pensioner"
