Title,Link,Description,Tags
Loan for Small Businesses (DAADC),https://www.myscheme.gov.in/schemes/sbsdaadc,"The scheme aims to promote self-employment among Scheduled Caste individuals belonging to Antyodaya Anna Yojana families by providing financial assistance for starting small businesses. Under this scheme, eligible beneficiaries are provided a loan of upto ₹1,25,000/- at a concessional interest rate.","Loan, Self-employment, Scheduled Caste, Small Business, Antyodaya Family"
Mahila Adhikarita Yojana under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/maynskfdc-h,"Under this scheme, loan is provided to woman Safai Karamchari and their dependent daughters for projects with a maximum project cost of up to ₹2,00,000/- for small and petty trade/businesses, and various income-generating activities such as beauty parlors, boutiques, cosmetic shop, bangle shop, etc.","Mahila, Adhikarita, NSKFDC, Woman, Self-Employment, Loan, HSFDC, Safai Karamchari"
Mahila Samruddhi Yojana (DAADC),https://www.myscheme.gov.in/schemes/msydaadc,"The scheme aims to promote self-employment and financial independence among women from the Antyodaya Samaj, especially from Scheduled Castes. Under this scheme, loan up to ₹50,000/- is provided at a concessional interest rate to eligible women for starting small-scale businesses.","Loan, Woman, Scheduled Caste, Self-employment, Antyodaya Samaj"
Jhota Buggi/Camel/Mule Cart Scheme (HSFDC),https://www.myscheme.gov.in/schemes/jbcmcshsfdc,"Under this scheme, the Corporation provides loans to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for purchasing animal-driven carts such as Jhota Buggis, camel carts, and mule carts.","Jhota Buggi, Camel Cart, Mule Cart, HSFDC, BPL, Scheduled Caste, Loan"
Micro Credit Finance under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/mcfnskfdc-h,"Under this scheme, loan is provided to Safai Karamchari and their dependents for projects with a maximum cost up to ₹1,00,000/- per beneficiaries for small and petty trade/business and various income generating activities.","Micro Credit, NSKFDC, Safai Karamcharis, Loan, Self-employment, HSFDC"
Micro Finance Scheme for Self Help Groups (GTKVN),https://www.myscheme.gov.in/schemes/mfsfshg,"The scheme aims to economically empower women from Thakor and Koli castes through self-employment opportunities via Self Help Groups (SHGs). Under this scheme, eligible members of SHGs receive a loan up to ₹60,000/- at low interest to start or expand small-scale businesses/enterprises.","SHG, Business, Loan, Enterpreneurship, Self-employment, Thakor Caste, Koli Caste"
Microcredit Finance Scheme- Self Help Groups (DAADC),https://www.myscheme.gov.in/schemes/mfs-shg,The scheme aims to promote self-employment for SC individuals. It offers microloans to start small businesses and become economically self-sufficient.,"SHGs, Loan, Self-employment, Business, Unemployment"
Mobile Food Court Van (DAADC),https://www.myscheme.gov.in/schemes/mfcvs,"The scheme aims to generate self-employment opportunities in the food and beverage sector by providing credit to unemployed scheduled caste individuals belonging to Antyodaya families. Under this scheme, loans are provided to the eligible beneficiaries at a concessional interest rate.","Loan, Self-employment, Scheduled Caste, Antyodaya, Food Court Van"
Modified Market Development Assistance Scheme,https://www.myscheme.gov.in/schemes/mmdas,"The scheme aims to enhance the production and sales of Khadi and Polyvastra products by supporting technology upgradation, market promotion, and providing direct incentives to artisans and Karyakartas. It targets Khadi Institutions and their associated artisans and workers.","Artisan, Production, Marketing, Subsidy, Incentive"
Swayam Saksham Yojana (GBCDC),https://www.myscheme.gov.in/schemes/sssgbcdc,"This scheme aims to instill a sense of self-reliance in the youth belonging to backward classes after receiving vocational education/training. Under this scheme, eligible youth are provided loans at a low-interest rate to start self-employment ventures.","Enterpreneurship, Loan, Backward Classes, Youth, Self-employment"
Swayam Saksham Yojana (GTKVN),https://www.myscheme.gov.in/schemes/sssgtkdc,"The scheme aims to promote economic self-reliance among professionally educated unemployed youth from Thakor & Koli communities, aged between 18 & 35 years, who hold degrees in fields such as Pharmacy, Software/Hardware, Automobile Engineering, Law, Chartered Accountancy, & others.","Enterpreneurs, Self-employment, Youth, Loan, Thakor, Koli"
Technology Acquisition Assistance,https://www.myscheme.gov.in/schemes/taa,The scheme aims to support Micro and Small enterprises in state to acquire advanced technology/ software related to their production/ manufacturing processes through assistance towards cost incurred for technology/ software acquisition.,"Reimbursement, Technology Acquisition, MSME, Micro Enterprise, Small Enterprise, Software"
Technology Development Fund (TDF) Scheme,https://www.myscheme.gov.in/schemes/tdfs,Technology Development Fund (TDF) has been established to promote self-reliance in Defence Technology as a part of the 'Make in India' initiative.,"Defence Technology, Financial Assistance, Defence Applications, MSMEs And Startups"
Term Loan Scheme (GSKVN),https://www.myscheme.gov.in/schemes/dcs-tl,"The scheme aims to uplift scavengers & their dependents by offering term loans of ₹1,00,000/- to ₹15,00,000/- to support them in starting self‐employment ventures in various trades & professions, enabling them to pursue income‐generating activities and lead dignified lives.","Loan, Self-employment, Safai Kamdar, Scavenger"
Term Loan Scheme (GTKVN),https://www.myscheme.gov.in/schemes/tlsbgtkvn,"The scheme aims to promote self-employment among individuals from the Thakor and Koli communities by providing financial assistance up to ₹10,00,000/- for agriculture and allied activities, small-scale businesses, craftsmanship, traditional occupations, and service-based businesses/trades.","Loan, Thakor Caste, Koli Caste, Self-employment, Small Business"
Startup India Seed Fund Scheme- For Incubators,https://www.myscheme.gov.in/schemes/sisfs-fi,"The scheme “Startup India Seed Fund Scheme (SISFS)” was launched by the DPIIT on 19th April 2021 to provide financial assistance to startups for proof of concept, prototype development, product trials, market-entry, and commercialization.","Startup, Seed Fund, Incubator, Financial Assistance"
Startup India Seed Fund Scheme- For Startups,https://www.myscheme.gov.in/schemes/sisfs-fs,"The scheme “Startup India Seed Fund Scheme (SISFS)” was launched by the DPIIT on 19th April 2021 with an outlay of INR 945 Crore to provide financial assistance to startups for Proof of Concept, prototype development, product trials, market-entry, and commercialization.","Startup, Seed Fund, Financial Assistance, Incubator, Grant"
Scheme for Assistance to MSMEs for Market Development,https://www.myscheme.gov.in/schemes/samsmemd,"The scheme aims to provide financial assistance to MSMEs participating in national and international fairs/exhibitions/buyer-seller meets, etc., under the Rajasthan MSME Policy 2024.","MSME, National Exhibition, International Exhibition, MSME Policy, Market Development"
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Interest Subsidy (Manufacturing Sector)",https://www.myscheme.gov.in/schemes/samsmeis,"The scheme ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.","Business, Entrepreneurship, MSMEs, Start Up, Interest Subsidy"
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Interest Subsidy (Service Sector)",https://www.myscheme.gov.in/schemes/samsmeisss,"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.","Business, Entrepreneurship, MSMEs, Start Up, Interest Subsidy"
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance of Capital Investment Subsidy (Manufacturing Sector)",https://www.myscheme.gov.in/schemes/samsmecis,"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.","Business, Entrepreneurship, MSMEs, Start Up, Capital Investment Subsidy"
Trade and Business Sector Scheme (HSFDC),https://www.myscheme.gov.in/schemes/tbsshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from BPL families, whose annual family income does not exceed ₹1,80,000/-, in both rural & urban areas for various self-employment income-generating activities such as running a stationery shop, kiryana shop, cloth shop, etc.","Trade, Business, HSFDC, Loan, BPL, Scheduled Caste, Self-employment"
Sheep Rearing Scheme (HSFDC),https://www.myscheme.gov.in/schemes/srshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income generating activities such as sheep rearing.","Sheep Rearing, HSFDC, Loan, BPL, Scheduled Caste, Self-employment"
Assistance to Training Institutions Scheme,https://www.myscheme.gov.in/schemes/ati,"Under the scheme, assistance would be provided to the training institutions under the Ministry of MSME for creation, strengthening and expansion of infrastructure, including setting-up of new branches and centres.","Training, ATI, MSME, EDI, Financial Assistance"
Bankable Scheme,https://www.myscheme.gov.in/schemes/bsg,"The scheme aims to provide financial assistance to scheduled caste persons for self-employment opportunities. Under this scheme, loans are provided for business, industry, or service activities, along with a subsidy of 50% of the loan amount or a maximum of ₹50,000/-.","Startup, Business, Loan, Subsidy, Scheduled Caste"
Consortia & Tender Marketing Scheme,https://www.myscheme.gov.in/schemes/ctms,"Micro & Small Enterprise in their Individual Capacity faces problems to procure and execute large order, which inhibit and
restrict their growth. NSIC accordingly, adopts Consortia approach and forms consortia of units manufacturing the same
products, thereby easing out marketing problems of MSEs.","Goods And Services Marketing, Turnkey Projects, Machinery And Technology, NSIC"
The West Bengal Incentive Scheme: Capacity Utilisation,https://www.myscheme.gov.in/schemes/wbiscu,"“Capacity Utilisation” incentives under the “The West Bengal Incentive Scheme” implemented by the Dept. of Tourism, Government of West Bengal, aims to provide additional Floor Area Ratio (FAR) over and above the maximum permissible FAR as may be fixed by the competent authority.","Tourism, Entrepreneurship, Capacity Utilisation, Incentives"
Dairy Farming Scheme (HSFDC),https://www.myscheme.gov.in/schemes/dfshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income generating activities such as dairy farming.","Dairy Farming, HSFDC, Loan, Self-employment, Subsidy, BPL"
Direct Finance Scheme by NSFDC (GSCDC),https://www.myscheme.gov.in/schemes/dfsbnsfdc,"Under this scheme, loans are offered at a low interest rate, ranging from 1% to 5%, specifically for self-employment to scheduled caste (SC) individuals.","Self-employment, Scheduled Caste, Loan, Unemployed, Interest Rate"
Aamar Dukan On Wheels,https://www.myscheme.gov.in/schemes/adow,The Assam Government proposes to introduce a new module of “Aamar Dukan” namely “AAMAR DUKAN ON WHEELS” in the same line as the existing ‘Aamar Dukan’ on 22.02.2017.,"Aamar Dukan, Wheels, Business, Startup"
Assistance Towards Expenses Incurred for Raising of Funds through NSE’s/ BSE’s SME Exchange Platform,https://www.myscheme.gov.in/schemes/atwirftnbsep,"Under this scheme, the Govt. of Rajasthan will provide one-time support up to a maximum of ₹15,00,000/- towards expenses incurred for raising of funds through NSE’s/ BSE’s SME exchange platform after successful raising of equity.","NSE, SME Exchange, MSME Policy, Liquidity Constraint, Small Enterprise, Medium Enterprise, BSE"
Assistance for Digitization of Business Processes and Adoption of eCommerce,https://www.myscheme.gov.in/schemes/adbpae,"The scheme offers MSMEs up to 75% reimbursement (max ₹50,000) for software/equipment costs for digitization, plus 75% of e-commerce platform fees (excl. shipping), also up to ₹50,000. Reimbursement is allowed for one e-commerce platform per MSME only.","MSME, ECommerce, Financial Assistance, Digitization Of Business, MSME Policy"
Assistance for Quality Enhancement,https://www.myscheme.gov.in/schemes/afqe,"The scheme aims to support micro and small enterprises in obtaining quality and system certifications or IPRs. It offers up to 50% reimbursement of certification costs with a ceiling of ₹3,00,000.","Quality Enhancement, Quality Certification, Reimbursement, Micro Enterprises, Small Enterprises, Intellectual Property"
Poultry Farming Scheme (HSFDC),https://www.myscheme.gov.in/schemes/pfshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income generating activities such as poultry farming.","Poultry Farming, HSFDC, Scheduled Caste, Loan, Self-employment, Subsidy"
Pradhan Mantri Virasat ka Samvardhan,https://www.myscheme.gov.in/schemes/pm-vikas,"PM VIKAS is a Central sector scheme that focuses on socio-economic empowerment of six notified minorities in the country through skilling & training, women leadership & empowerment and education. The scheme integrates erstwhile skilling & education schemes of the Ministry of Minority Affairs.","Skill Development, Women Entrepeneurship, Education Of School Dropouts, Socio-economic Empowerment, Minorities"
Professional and Self Employment Scheme (HSFDC),https://www.myscheme.gov.in/schemes/pseshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from BPL families, whose annual family income does not exceed ₹1,80,000/-, in rural & urban areas. These loans support self-employment activities in fields such as legal profession, Chartered Accountancy, medical practice etc.","Professional, Self Employment, HSFDC, Loan, BPL, Scheduled Caste"
Providing Latest Technology to Group of Pottery Artisans (Energy Efficient Kiln),https://www.myscheme.gov.in/schemes/pltgpa-eek,"The scheme aims to provide latest technology and equipment to pottery artisans for better productivity, improved quality and reduce health risks. It provides 100% financial assistance for energy-efficient kilns to groups of registered clay artisans and potters in Gujarat state.","Technology, Artisan, Pottery, Energy, Equipment, Kiln"
SITARE-Gandhian Young Technological Innovation Award Grant,https://www.myscheme.gov.in/schemes/sitare-gyti,"Under SITARE-GYTI scheme component, 15 innovative student projects will receive funding support of upto INR 15 lakhs each. The scheme encourages postgraduate & doctoral students to undertake projects with commercial potential leading to the creation of biotech startups.","SITARE, GYTI, Student, Innovation, Translational Research"
New Charkha-Loom Scheme,https://www.myscheme.gov.in/schemes/ncls,"The scheme provides 65% financial assistance for purchasing Amber Charkhas (₹13,000/-) and looms (₹30,000/-) to registered Khadi spinners and weavers, promoting sustainable livelihoods.","Loom, Weaver, Artisan, Subsidy, Fabric"
New Swarnima Scheme For Women,https://www.myscheme.gov.in/schemes/nssw,"A term loan scheme by the Ministry of Social Justice and Empowerment for women entrepreneurs from backward classes to obtain a loan of up to ₹2,00,000/- @ 5% per annum, thereby providing them social & financial security.","Entrepreneur, Women, Business, Empowerment, Backward Class, Financial Assistance"
Piggery Farming Scheme (HSFDC),https://www.myscheme.gov.in/schemes/pfs-hsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income-generating activities such as piggery farming.","Piggery Farming, HSFDC, Loan, BPL, Scheduled Caste, Self-employment, Subsidy"
"PRISM (Promoting Innovations in Individuals, Start-ups and MSMEs): Category-2: Fabrication of Working Model/Process Know-how/Testing & Trial/Patenting/Technology Transfer",https://www.myscheme.gov.in/schemes/prism-c2-fwmpkhttptt,"The scheme aims to promote innovations in individuals, start-ups, and Micro, Small and Medium Enterprises (PRISM). It offers financial support (up to ₹20,00,000/-) for Indian Citizens working on innovation projects requiring fabrication of working models, patenting, or technology transfer.","Innovation, Patent, Invention, Prototype, Technology"
Pashu Palan Yojana (GTKVN),https://www.myscheme.gov.in/schemes/pgtkvn,"The scheme aims to enhance the livelihoods of Thakor and Koli communities by providing financial assistance for animal husbandry activities such as dairy farming. Under this scheme, loans of up to ₹1,00,000/- are provided for the purchase of milch animals such as cows and buffaloes.","Loan, Thakor Caste, Koli Caste, Animal Husbandry, Self-employment"
PM Vishwakarma,https://www.myscheme.gov.in/schemes/pmv,"The scheme ""PM Vishwakarma "" by the Ministry of Micro, Small & Medium Enterprises, is a new scheme that envisages providing end-to-end holistic support to traditional artisans and craftspeople in scaling up their conventional products and services.","Artisans, Craftspeople, Skill Upgradation, Toolkit Incentive"
"""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/edp-dc,"The scheme aims to provide Entrepreneurship training, to encourage prospective entrepreneurs to start the coir industry. Awareness programmes will also be arranged for the existing coir industries about the modern technology and scheme, and incentives available under the State Grant.","Coir, Industry, Awareness, Skill, Training, Entrepreneur"
"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/gs-mesifai-vi,"Through the ""Generator Subsidy"" scheme, 50% subsidy is provided to the industrial units of the micro, small, medium and large industries for the purchase and installation of generators. The applications are accepted offline in the prescribed form available on the Official Website of the Department.","Machine, Generator, Subsidy, Business, MSME, Entrepreneur"
"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/gs-mesifai,"Through this scheme, the micro, small and medium industrial units (manufacturing and service sector) shall be eligible for the grant of 50% subsidy with a cap of ₹5,00,000/- per industrial unit on the investment made on or after 5-3-2009 on generator sets. The applications are accepted offline.","Machinery, Subsidy, Business, Entrepreneurship, Industry"
"""Grant To Handicrafts Societies"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ghs-pudu,"“Grant To Handicrafts Societies” by the Department of Industries and Commerce, UT of Puducherry aims to encourage the creation of Handicrafts Societies to enhance coordination and skill among craftspeople. Grants are provided to registered societies for organizing or participating in exhibitions.","Society, Exhibition, Grant, Handicraft, Artisan"
"""Grant of Margin Money for Availing Capital Loan"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gmmacl-dc,"The scheme ""Grant of Margin Money for Availing Capital Loan"" aims to incentivize entrepreneurs to establish new coir industries & revitalise existing ones. The units must be set up in Puducherry. The scheme provides margin money upon receipt of a financial institution's sanction order for a project.","Loan, Business, Coir, Entrepreneur"
"""Grant to Silk Societies/Agency"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/gssa-ds,"The scheme ""Grant to Silk Societies/Agency"" aims to encourage the silk weaving artisans to form registered societies/agencies to develop a cluster approach among the artisans which is effective and advisable at present for the successful development of their business.","Society, Grant, Silk, Artisan, Business"
"""Grant of Margin Money for Availing the Capital Loan"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/gmmacl-ds,The scheme aims to encourage the entrepreneur to set up Silk Weaving Units in Puducherry. This margin money grants will reduce the initial financial burden on the entrepreneurs while availing term loan/working capital loan from the financial institutions for setting up of silk weaving units.,"Loan, Capital, Entrepreneur, Business, Silk, Bank"
"""Grant to Coir Cluster/Societies/Agency"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gccsa-dc,"The ""Grant to Coir Cluster/Societies/Agency"" scheme aims to foster the development of coir industries. The scheme encourages unemployed rural youth and artisan individuals to participate in the manufacturing and sales of coir products. Grant of ₹2,00,000 per year is provided for five years.","Coir, Society, Grant, Artisan, Youth"
"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/gefm-mesifai-sa-msme,"The award for ""Green and Eco-Friendly Measures"" is conferred upon the industries that are green and eco-friendly as per the standards of the Department of Science, Technology and Environment (DSTE), Puducherry. The awardee is given a cash award of ₹2,00,000/- and a citation.","Award, Entrepreneur, MSME, Business, Environment"
"""Grant to Subsidy for Raw Materials Procurement"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gsrmp-dc,"The ""Grant to Subsidy for Raw Materials Procurement"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to promote Coir Industries by providing a 15% subsidy on annual raw materials procurement, capped at ₹5,00,000 per annum per unit.","Coir, Entrepreneur, Entrepreneurship, Business, Subsidy, Grant"
"""Infrastructure Development Subsidy (For IT/ITES)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",https://www.myscheme.gov.in/schemes/ids-mesifa-cii,"Through this scheme, 30% Subsidy subject to a max. of ₹1,00,00,000/- will be granted on the investment made on building with a minimum extent of 50,000 sq.ft. constructed area, by the infrastructure developers/industries for leasing out to Information Technology industries or for own industrial use.","Infrastructure, Subsidy, Industry, MSME, Entrepreneur"
"""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/itpp-mesifai-sa-msme,"The award ""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises” is conferred upon the industrial units who have patented their technology innovation.","Innovation, Technology, MSME, Industry, Patent"
"""Infrastructure Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/infs-mesifai,"The ""Infrastructure Subsidy"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Industries and Commerce Department, Puducherry. 25% subsidy is provided to the industrial units who have made investments on buildings.","Infrastructure, Subsidy, Entrepreneurship, Industry"
"""Interest Subsidy (For Micro, Small, Medium and Large New Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/is-mesifai-vi,"Through this scheme, the industrial units availing loans from financial institutions towards the creation of fixed assets and for working capital shall be eligible for an interest subsidy to an extent of 25% of the annual interest amount paid. The applications are accepted offline.","Interest, Subsidy, Industry, Business, Enterpreneur, MSME"
"""Interest Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/is-mesifai,The industrial units which have availed loans from financial institutions towards the creation of fixed assets and for working capital shall be eligible for an interest incentive to an extent of 25% of the annual interest amount paid. The applications are accepted offline.,"Interest, Subsidy, Loan, Finance, Incentive"
"""Marketing Incentive"" under the ""Handloom Marketing Assistance"" Component of the National Handloom Development Programme",https://www.myscheme.gov.in/schemes/mi-hma-nhdp,The scheme aims to develop and promote marketing channels for handloom products to bring greater visibility to the sector and ensure commensurate remuneration to weavers. It provides Marketing Incentive to eligible handloom agencies for creating conducive conditions for marketing handloom products.,"Marketing, Incentive, Handloom, Weaver, Textile"
"""Market Development Support Assistance"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/mdsa-mesifai-vi,"Through ""Market Development Support Assistance"", assistance worth 50% of total rent, literature and display material (subject to a max. of ₹5,00,000/-) is provided to the industrial unit for participation in international trade fair as an industry association. The applications are accepted offline.","Market, Trade, Industry, Business, Enterpreneur"
"""Outstanding Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/oe-mesifai-sa-msme,"""Outstanding Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises” is a scheme by the Industries and Commerce Dept, UT of Puducherry, formulated to award the best entrepreneurs.","Entrepreneur, Business, Industry, MSME, Award"
"""Outstanding Exporter"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/oexp-mesifai-sa-msme,"""Outstanding Exporter"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises” by the Industries & Commerce Dept, Puducherry, awards the direct manufacture exporters that are exporting for 3 years.","Export, Award, Business, Industry, MSME"
"""Outstanding Artisan of the Year"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/oay-mesifai-sa-msme,"The ""Outstanding Artisan of the Year"" award is conferred upon the artisan who has been a participant for 3 years in National / International handicraft exhibitions/fairs. The awardee is given a cash award of ₹2,00,000/- and a citation. The applications are accepted offline in the prescribed form.","Artisan, Handicraft, Exhibition, Award, Entrepreneur"
"""Outstanding SC/ST Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/oscste-mesifai-sa-msme,"""Outstanding SC/ST Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises” is a scheme by the Industries and Commerce Dept, UT of Puducherry, formulated to award the best SC/ST entrepreneurs.","Scheduled Caste, Scheduled Tribe, Entrepreneur, Business, Industry, MSME"
"""Rent Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/rs-mesifai,"This scheme aims to support SC/ST and women entrepreneurs who have initiated production on or after 27-3-2002 in a rented building. It provides rent subsidy for the first five years from the commencement of commercial production on a tapering basis, with a max ceiling of ₹5,000 per month.","Rent, Subsidy, Entrepreneur, Industry, Building"
