Title,Link,Description,Tags
Integrated Dairy Development Scheme Gujarat,https://www.myscheme.gov.in/schemes/iddsg,"Under this scheme, tribal women beneficiaries are provided with milch cattle, dairy equipment, and financial assistance of up to ₹90,000 per unit.","Financial Assistance, Women, Animal Husbandry, Subsidy"
Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Export Oriented Production: Large Cardamom Certified Nursery (Unit),https://www.myscheme.gov.in/schemes/isepqisrdceoplccn,"The scheme ""Export Oriented Production: Large Cardamom Certified Nursery (Unit)"" is a Sub-Scheme of the Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom by the Spice Board, Department of Commerce and Industry, Ministry of Commerce.","Farmer, Nursery, Export, Subsidy, Agriculture, DBT"
Internship Programme Of The Wildlife Crime Control Bureau (MoEFCC),https://www.myscheme.gov.in/schemes/ipwccb,Internship at Wildlife Crime Control Bureau (WCCB) provides an excellent opportunity for students/researchers to familiarize themselves with various issues related to wildlife & the functioning of WCCB. The intern shall have an orientation session and would be assigned specific areas of work.,"Internship, Wildlife, Crime, Student, Environment"
Livestock Health and Diseases Control,https://www.myscheme.gov.in/schemes/lhadc,"The Livestock Health and Diseases Control (LH&DC) scheme is a Centrally Sponsored Scheme (CSS) implemented by the Department of Animal Husbandry and Dairying (DAHD), Ministry of Agriculture and Farmers' Welfare, Government of India.","Animal Husbandry, Animal Health, Livestock Diseases"
Mukhya Mantri Agricultural Mechanization Scheme,https://www.myscheme.gov.in/schemes/mmams,"The ""Mukhya Mantri Agricultural Mechanization Scheme"" launched by the Agriculture, Farmers Welfare and Cooperation Department, offers financial assistance ranging from ₹1,200/- to ₹11,00,000/- to farmers in Gujarat for purchasing agricultural machinery and farm equipment.","Agriculture, Machine, Subsidy"
Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil,https://www.myscheme.gov.in/schemes/splfom,"The ""Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil"" offers financial assistance to promote the use of Liquid Fermented Organic Manure (LFOM) and enhance organic carbon levels in soil.","Agriculture, Organic Farming, Liquid Manure, Soil Health"
Sardar Krushi Jyoti Yojana,https://www.myscheme.gov.in/schemes/skjy,"The scheme improves power supply for farmers by replacing old wires and equipment and upgrading agricultural feeders for uninterrupted service, which is crucial for irrigation.","Electricity, Agricultural, Farmers, Consumers"
Scheduled Caste Sub Plan (SCSP): Electrification of Wells of Scheduled Caste Farmers,https://www.myscheme.gov.in/schemes/scsp-ewscf,The scheme aims to provide agricultural electricity connections on a priority basis to Scheduled Caste farmers. Benefits include electrification of wells and free domestic electricity connections for Scheduled Caste farmers and beneficiaries across Gujarat.,"Farmer, Scheduled Caste, Electricity, Agriculture, Rural"
Trainning Scheme for Horticulture Skill Development to Landless farm labour at Centre of Excelence of Department,https://www.myscheme.gov.in/schemes/tshsdfl,"The ""Training Scheme for Horticulture Skill Development to Landless Farm Labour at Centre of Excellence of Department"" aims to provide skill development training in horticulture to landless farm labourers through the Centres of Excellence.","Horticulture Training, Skill Development, Farmer"
Capital Subsidy Scheme for Setting Up Solar Plant in Milk Cooperatives in Gujarat State (Tribal Area),https://www.myscheme.gov.in/schemes/csssspg,"The scheme aims to promote renewable energy and reduce electricity expenses. Through this scheme, a 75% subsidy is provided for setting up solar plants (1KW to 40KW) in milk cooperative societies in tribal areas.","Agriculture, Solar Subsidy, Milk Cooperatives, Renewable Energy, Electricity Saving"
Chief Minister Small and Marginal Farmers Older Pension Scheme,https://www.myscheme.gov.in/schemes/cmsmfops,"The ""Chief Minister Small and Marginal Farmers Older Pension Scheme"" by the Department of Social Justice and Empowerment, Government of Rajasthan, aims to provide financial assistance to elderly small and marginal farmers.","Pension, Farmers, Old Age"
Agricultural Marketing Infrastructure,https://www.myscheme.gov.in/schemes/ami,The revitalized and farmers’ income enhancing centric sub-scheme Agricultural Marketing Infrastructure (AMI) of Integrated Scheme for Agricultural Marketing (ISAM) is meant for holistic development of agricultural value chain critically focusing each linkage of post-harvest value chain.,"Agricultural Marketing, Storage Infrastructure, Promoter, Farmer"
Agro Service Provider Scheme,https://www.myscheme.gov.in/schemes/aspsg,"The ""Agro Service Provider Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to support farmers by providing subsidies for acquiring agricultural implements.","Agriculture, Subsidy"
"Development Support for Coffee in Traditional Areas, Non-Traditional Area and North Eastern Region : Farmers Producer Organizations (FPOs)",https://www.myscheme.gov.in/schemes/development-support-for-coffee-farmers-producer-organizations-fpos,"To provide broad-based supportive ecosystem to facilitate development of vibrant, socially and economically sustainable coffee communities.","Coffee Grower, Farmers Producer Organizations FPO"
Development Support for Coffee in Traditional Areas: Eco-certification of Coffee,https://www.myscheme.gov.in/schemes/dsctaecc,The scheme encourages coffee growers to access high-value speciality markets through the production of eco-certified coffees to realize higher returns by adhering to a set of standards that help in the communication of the various conditions surrounding the production of coffee.,"Coffee, Farmer, Agriculture, Subsidy, DBT"
Development Support for Coffee in Traditional Areas: Support to Small Growers' Collectives/ SHGs/ Cooperatives for Coffee Marketing,https://www.myscheme.gov.in/schemes/dsctassgcsccm,"The objective of the scheme is to extend support to small and tiny growers, incentivizing them to form collectives/ Self Help Groups/ Cooperatives, thus encouraging them to take up marketing of coffee produced on a community-based approach through suitable financial incentives.","Coffee, Farmer, Agriculture, Subsidy, DBT"
A Scheme to Provide Assistance for Building E-Market Facilities in Market Committees,https://www.myscheme.gov.in/schemes/spabem,"This scheme provides financial assistance to market committees in Gujarat to establish e-market facilities, aligning with the National Agriculture Market Policy for a unified national e-market.","Agriculture, E-Market"
A Program to Provide 90 Percent Assistance in Planting Material of Horticultural Fruit Crops,https://www.myscheme.gov.in/schemes/ptpapmh,This scheme offers 90% financial assistance to farmers for purchasing planting materials of fruit crops to promote horticulture.,"Agriculture, Horticultural, Fruit Crops"
Assistance Program for Planting in Floriculture,https://www.myscheme.gov.in/schemes/apfpf,"The scheme offers financial assistance to farmers in Gujarat for the cultivation of floriculture crops, including loose, cut, and tuberous flowers, based on crop type and farmer category.","Floriculture, Flower Farming, Subsidy"
Assistance Program for Expansion of Fruit Crop Cultivation,https://www.myscheme.gov.in/schemes/apfefcc,"The scheme provides financial assistance to farmers in Gujarat for expanding fruit crop cultivation like mango, banana, papaya, etc., through intensive and ultra-intensive farming methods.","Agriculture, Fruit Crop, Horticulture, Intensive Farming"
