Scheme_ID,Title,Category,Description,Tags,Link
3ada026b,Internship Programme Of The Wildlife Crime Control Bureau (MoEFCC),Agriculture,Internship at Wildlife Crime Control Bureau (WCCB) provides an excellent opportunity for students/researchers to familiarize themselves with various issues related to wildlife & the functioning of WCCB. The intern shall have an orientation session and would be assigned specific areas of work.,"Internship, Wildlife, Crime, Student, Environment",https://www.myscheme.gov.in/schemes/ipwccb
04893a58,Livestock Health and Diseases Control,Agriculture,"The Livestock Health and Diseases Control (LH&DC) scheme is a Centrally Sponsored Scheme (CSS) implemented by the Department of Animal Husbandry and Dairying (DAHD), Ministry of Agriculture and Farmers' Welfare, Government of India.","Animal Husbandry, Animal Health, Livestock Diseases",https://www.myscheme.gov.in/schemes/lhadc
451bcb07,Mukhya Mantri Agricultural Mechanization Scheme,Agriculture,"The ""Mukhya Mantri Agricultural Mechanization Scheme"" launched by the Agriculture, Farmers Welfare and Cooperation Department, offers financial assistance ranging from ₹1,200/- to ₹11,00,000/- to farmers in Gujarat for purchasing agricultural machinery and farm equipment.","Agriculture, Machine, Subsidy",https://www.myscheme.gov.in/schemes/mmams
9ee8b15a,Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil,Agriculture,"The ""Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil"" offers financial assistance to promote the use of Liquid Fermented Organic Manure (LFOM) and enhance organic carbon levels in soil.","Agriculture, Organic Farming, Liquid Manure, Soil Health",https://www.myscheme.gov.in/schemes/splfom
d14d14dc,Sardar Krushi Jyoti Yojana,Agriculture,"The scheme improves power supply for farmers by replacing old wires and equipment and upgrading agricultural feeders for uninterrupted service, which is crucial for irrigation.","Electricity, Agricultural, Farmers, Consumers",https://www.myscheme.gov.in/schemes/skjy
4820d20b,Scheduled Caste Sub Plan (SCSP): Electrification of Wells of Scheduled Caste Farmers,Agriculture,The scheme aims to provide agricultural electricity connections on a priority basis to Scheduled Caste farmers. Benefits include electrification of wells and free domestic electricity connections for Scheduled Caste farmers and beneficiaries across Gujarat.,"Farmer, Scheduled Caste, Electricity, Agriculture, Rural",https://www.myscheme.gov.in/schemes/scsp-ewscf
e06e4bb6,Trainning Scheme for Horticulture Skill Development to Landless farm labour at Centre of Excelence of Department,Agriculture,"The ""Training Scheme for Horticulture Skill Development to Landless Farm Labour at Centre of Excellence of Department"" aims to provide skill development training in horticulture to landless farm labourers through the Centres of Excellence.","Horticulture Training, Skill Development, Farmer",https://www.myscheme.gov.in/schemes/tshsdfl
ca43fa45,Capital Subsidy Scheme for Setting Up Solar Plant in Milk Cooperatives in Gujarat State (Tribal Area),Agriculture,"The scheme aims to promote renewable energy and reduce electricity expenses. Through this scheme, a 75% subsidy is provided for setting up solar plants (1KW to 40KW) in milk cooperative societies in tribal areas.","Agriculture, Solar Subsidy, Milk Cooperatives, Renewable Energy, Electricity Saving",https://www.myscheme.gov.in/schemes/csssspg
0b2df7fe,Chief Minister Small and Marginal Farmers Older Pension Scheme,Agriculture,"The ""Chief Minister Small and Marginal Farmers Older Pension Scheme"" by the Department of Social Justice and Empowerment, Government of Rajasthan, aims to provide financial assistance to elderly small and marginal farmers.","Pension, Farmers, Old Age",https://www.myscheme.gov.in/schemes/cmsmfops
b4eb0102,Agricultural Marketing Infrastructure,Agriculture,The revitalized and farmers’ income enhancing centric sub-scheme Agricultural Marketing Infrastructure (AMI) of Integrated Scheme for Agricultural Marketing (ISAM) is meant for holistic development of agricultural value chain critically focusing each linkage of post-harvest value chain.,"Agricultural Marketing, Storage Infrastructure, Promoter, Farmer",https://www.myscheme.gov.in/schemes/ami
eba1a506,Agro Service Provider Scheme,Agriculture,"The ""Agro Service Provider Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to support farmers by providing subsidies for acquiring agricultural implements.","Agriculture, Subsidy",https://www.myscheme.gov.in/schemes/aspsg
7906452f,"Development Support for Coffee in Traditional Areas, Non-Traditional Area and North Eastern Region : Farmers Producer Organizations (FPOs)",Agriculture,"To provide broad-based supportive ecosystem to facilitate development of vibrant, socially and economically sustainable coffee communities.","Coffee Grower, Farmers Producer Organizations FPO",https://www.myscheme.gov.in/schemes/development-support-for-coffee-farmers-producer-organizations-fpos
506f99a3,Development Support for Coffee in Traditional Areas: Eco-certification of Coffee,Agriculture,The scheme encourages coffee growers to access high-value speciality markets through the production of eco-certified coffees to realize higher returns by adhering to a set of standards that help in the communication of the various conditions surrounding the production of coffee.,"Coffee, Farmer, Agriculture, Subsidy, DBT",https://www.myscheme.gov.in/schemes/dsctaecc
f5600cea,Development Support for Coffee in Traditional Areas: Support to Small Growers' Collectives/ SHGs/ Cooperatives for Coffee Marketing,Agriculture,"The objective of the scheme is to extend support to small and tiny growers, incentivizing them to form collectives/ Self Help Groups/ Cooperatives, thus encouraging them to take up marketing of coffee produced on a community-based approach through suitable financial incentives.","Coffee, Farmer, Agriculture, Subsidy, DBT",https://www.myscheme.gov.in/schemes/dsctassgcsccm
5fb43ca6,A Scheme to Provide Assistance for Building E-Market Facilities in Market Committees,Agriculture,"This scheme provides financial assistance to market committees in Gujarat to establish e-market facilities, aligning with the National Agriculture Market Policy for a unified national e-market.","Agriculture, E-Market",https://www.myscheme.gov.in/schemes/spabem
28804235,A Program to Provide 90 Percent Assistance in Planting Material of Horticultural Fruit Crops,Agriculture,This scheme offers 90% financial assistance to farmers for purchasing planting materials of fruit crops to promote horticulture.,"Agriculture, Horticultural, Fruit Crops",https://www.myscheme.gov.in/schemes/ptpapmh
d44f8b8d,Assistance Program for Planting in Floriculture,Agriculture,"The scheme offers financial assistance to farmers in Gujarat for the cultivation of floriculture crops, including loose, cut, and tuberous flowers, based on crop type and farmer category.","Floriculture, Flower Farming, Subsidy",https://www.myscheme.gov.in/schemes/apfpf
d6dab36a,Assistance Program for Expansion of Fruit Crop Cultivation,Agriculture,"The scheme provides financial assistance to farmers in Gujarat for expanding fruit crop cultivation like mango, banana, papaya, etc., through intensive and ultra-intensive farming methods.","Agriculture, Fruit Crop, Horticulture, Intensive Farming",https://www.myscheme.gov.in/schemes/apfefcc
f5f4148f,Assistance Program for the Cultivation of Lotus Fruit (Dragon Fruit),Agriculture,"The scheme provides financial assistance to farmers to support the cultivation of dragon fruit (lotus fruit), with higher benefits for SC/ST and priority for small-scale and women farmers.","Agriculture, Dragon Fruit Farming, Lotus Fruit Farming, Fruit Cultivation",https://www.myscheme.gov.in/schemes/apclfdf
5df96278,Assistance for Area Expansion of Spice Crops,Agriculture,"The scheme provides financial assistance to farmers for the area expansion of spice crops, including seed and rhizomatic spices, to enhance spice production in Gujarat.","Spice Crop, Agriculture, Area Expansion Farming, Seed Spices",https://www.myscheme.gov.in/schemes/afaesp
44181726,Assistance for Planting Vegetable Crops for Raw and Ripe Mandap,Agriculture,"The scheme provides financial assistance to farmers in Gujarat for setting up vegetable trellises (Mandap) for raw, semi-ripe, and ripe vegetables, with varying support for General, SC, and ST farmers.","Vegetable Crops, Farmer, Raw And Ripe Mandap",https://www.myscheme.gov.in/schemes/apvcrrm
9901ef98,Assistance for Cultivation of Medicinal/ Aromatic Crops,Agriculture,"The scheme provides financial assistance up to 75% of the cost or ₹11,250/- per hectare (whichever is lower) to farmers in Gujarat cultivating medicinal or aromatic crops on land between 0.20 and 4 hectares.","Agriculture, Medicinal Crops, Aromatic Crops",https://www.myscheme.gov.in/schemes/afcmac
18763c15,Assistance in Packing Materials under Post Harvest Management of Horticultural Produce,Agriculture,The scheme provides financial assistance to farmers to procure packing materials like corrugated and wooden boxes for post-harvest management of horticultural produce.,"Horticulture, Post-harvest Management, Packing Material Subsidy, Farmer",https://www.myscheme.gov.in/schemes/apmuphmh
a0b48c6a,Assistance to Co-operative Irrigation Societies M. N. R.-10 (General Area),Agriculture,"The scheme ""Assistance to Co-operative Irrigation Societies, M. N. R.-10 (General Area)""  aims to increase agricultural production by supporting irrigation cooperative societies through the provision of pumps and electric motors for efficient water distribution.","Irrigation, Co-operative Irrigation Societies, Farm Productivity, Water Distribution",https://www.myscheme.gov.in/schemes/atcisg
5f34f698,Assistance to Farmers in Purchasing Nano Fertilizers Under the Agricultural Assistance Program for Farmers Other than Scheduled Castes and Scheduled Tribes,Agriculture,"This scheme offers financial assistance to farmers from non-SC/ST categories to support the purchase of Nano Fertilizers, aiming to enhance agricultural productivity and uplift the standard of living of farmers in Gujarat.","Agriculture, Nano Fertilizers, Farmer",https://www.myscheme.gov.in/schemes/apnfuscst
2b9a351e,National Agriculture Insurance Scheme,Agriculture,"The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases.","Farmers, Crop Insurance, Agriculture Subsidy, Natural Disaster Coverage",https://www.myscheme.gov.in/schemes/nai
39d3d791,National Bamboo Mission,Agriculture,Restructured National Bamboo Mission was launched during 2018-19 as a Centrally Sponsored Scheme (CSS) after the historical amendment of the Indian Forest Act during 2017 to exclude bamboo out from definition of tree.,"Bamboo Marketing, Quality Planting Material, Bamboo Plantation, Product Development",https://www.myscheme.gov.in/schemes/nbm
9d58ea42,RKVY Soil Health and Fertility - Soil Health Card,Agriculture,"Soil Health Card is designed to give each farmer soil nutrient status of his/her holding and advice him/her on the dosage of fertilizers and also the needed soil amendments, that s/he should apply to maintain soil health in the long run.","Soil Health, INM, Soil Testing, Farmer, RKVY",https://www.myscheme.gov.in/schemes/rkvyshfshc
c83cb65e,RKVY Soil Health and Fertility Village level Soil Testing Lab,Agriculture,"In order to promote soil test analysis in a campaign mode and to create awareness among farmers about soil health for judicious use of chemical fertilisers, organic manure, the component of “Setting of Village-level Soil Testing Laboratories” is being implemented under the scheme.","Soil Testing Lab, Soil Health, INM, Rural Entrepreneur, RKVY",https://www.myscheme.gov.in/schemes/rkvyshfvlstl
5f6a2dd6,Rainfed Area Development,Agriculture,"Rainfed Area Development (RAD) scheme was launched in 2014-15 to mainstream development of rainfed areas in a sustainable manner. It adopts an area-based approach, focuses on Integrated Farming System (IFS) for enhancing productivity and minimizing risks associated with climatic variability.","Rainfed, Dryland Agriculture, Watershed, Sustainable Agriculture",https://www.myscheme.gov.in/schemes/rad
87c2ca5a,Rotavator/Thresher Machine Equipment Assistance Scheme,Agriculture,The scheme aims to support BPL Scheduled Tribe farmers in tribal areas by providing financial assistance to purchase rotavators and thresher machines.,"Farmer, Financial Assistance, Self-employment, Machines, BPL",https://www.myscheme.gov.in/schemes/rtmeas
118782d4,Planning for Best Livestock Keeper's Award Function,Agriculture,"The ""Planning for Best Livestock Keeper's Award Function"" scheme by the Agriculture, Farmers Welfare and Cooperation Department honors outstanding pastoralists in Gujarat by awarding them at Taluka, District, and State levels for their excellence in animal husbandry.","Agriculture, Animal Husbandry, Award, Financial Assistance",https://www.myscheme.gov.in/schemes/pobahad
fc372207,Planting Assistance Program for Hybrid Seeds of Vegetable Crops,Agriculture,This scheme offers financial assistance to farmers for the plantation of hybrid seeds and promotion of natural farming in vegetable crops across Gujarat.,"Agriculture, Vegetable Crop, Plantation Assistance, Natural Farming",https://www.myscheme.gov.in/schemes/paphsvc
4872b874,PMMSY: Insulated vehicles - Gujarat,Agriculture,"The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for Insulated vehicles.","Construction Of Plant, Storage, Fishermen, Fish Sellers",https://www.myscheme.gov.in/schemes/pmmsyivguj
13d5962b,Pashu Palan Yojana (GTKVN),Agriculture,"The scheme aims to enhance the livelihoods of Thakor and Koli communities by providing financial assistance for animal husbandry activities such as dairy farming. Under this scheme, loans of up to ₹1,00,000/- are provided for the purchase of milch animals such as cows and buffaloes.","Loan, Thakor Caste, Koli Caste, Animal Husbandry, Self-employment",https://www.myscheme.gov.in/schemes/pgtkvn
93d7e4aa,Pashu Palan Yojana (GSKVN),Agriculture,"Under this scheme, loans of up to ₹1,00,000 are provided to sanitation workers and their dependents at an interest rate of 6% for self-employment in animal husbandry or related activities.","Loan, Animal Husbandry, Sanitation Worker, Self-employment, Scavenger",https://www.myscheme.gov.in/schemes/ahsgskvn
bb988382,Pradhan Mantri Kisan Maandhan Yojana,Agriculture,"The scheme aims to provide old-age social security through a minimum assured monthly pension of ₹ 3,000/- to Small and Marginal Farmers after attaining the age of 60 years.","Small And Marginal Farmer, Social Security, Old Age Pension, Family Pension",https://www.myscheme.gov.in/schemes/pmkmdy
7bfc5667,"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Agriculture,"The scheme ""Financial Grant for Reactivation of Mechanised Boats"" is introduced by the Govt of Puducherry with the objective of increasing marine fish production by extending financial grants for the reactivation of wooden/steel mechanized boats.","Boat, Grant, Financial Assistance, Fisheries, Fisherman",https://www.myscheme.gov.in/schemes/fgrmb-faascdmf
499b4a52,"""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",Agriculture,"The scheme ""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced with the objective of assisting fishermen families who are deprived of income during natural calamities and fishing ban periods.","Welfare, Relief, Clothes, Fisheries, Fisherman",https://www.myscheme.gov.in/schemes/wrflsncs-fbps
de1f7284,"""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",Agriculture,"The scheme ""Immediate Death Relief Assistance"" is introduced with the objective of extending financial assistance to the fishermen's families to compensate for the loss due to the sudden demise of the breadwinner and to support them financially to run their family.","Death, Fisherman, Relief, Financial Assistance, Family",https://www.myscheme.gov.in/schemes/wrflsncs-idra
bcfa29c7,"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",Agriculture,"The award for ""Green and Eco-Friendly Measures"" is conferred upon the industries that are green and eco-friendly as per the standards of the Department of Science, Technology and Environment (DSTE), Puducherry. The awardee is given a cash award of ₹2,00,000/- and a citation.","Award, Entrepreneur, MSME, Business, Environment",https://www.myscheme.gov.in/schemes/gefm-mesifai-sa-msme
75228714,"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",Agriculture,"The objective of this scheme is to increase the inland fish production, and to enhance the income of farmers in the State though aquaculture. Input assistance is provided to the farmers who have excavated farm ponds under MGNREGA for facilitating the production of fingerling and fish.","Farmer, Fisheries, Seed, Subsidy, Fertilizer, Pond",https://www.myscheme.gov.in/schemes/mmky-iaftufffp
2caae874,"""Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board",Agriculture,"Through the “Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board, the coconut farmers are provided financial assistance through DBT (Direct Benefit Transfer) mode for the Laying of the Demonstration Plot, and for the Construction of the Organic Manure Unit.","Manure, Construction, Farmer, Subsidy, DBT",https://www.myscheme.gov.in/schemes/ifpisbtcdb
ced44444,"""Interest Subvention on Working Capital"" under the ""Assam Tea Industries Special Incentives Scheme""",Agriculture,"The scheme aims to ensure long term financial sustainability of the Tea industry and incentivize Orthodox tea production over Crush, Tear, Curl tea. It provides interest subvention, production subsidies, plant & machinery subsidies, tax holidays to tea plantations and manufacturing units in Assam.","Subsidy, Capital, Interest, Incentive, Industry",https://www.myscheme.gov.in/schemes/iswc-atisis
e5694d88,"""Orthodox or Specialty Tea Production Subsidy"" under the ""Assam Tea Industries Special Incentives Scheme""",Agriculture,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.","Subsidy, Tea, Production, Incentive, Industry",https://www.myscheme.gov.in/schemes/ostps-atisis
a7eabafe,"""Protected Cultivation"" Component of ""Establishment of New Gardens (Area Expansion)"" Scheme",Agriculture,"Through this scheme, the farmers are provided Poly House, Shade Net House (Tubular Structure), Plastic Mulching at subsidised rates for practising Protected Cultivation. In Puducherry, this scheme is implemented by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry.","Cultivation, Farmer, Subsidy, Garden, Horticulture",https://www.myscheme.gov.in/schemes/pccengaes
d0d0ccf3,"""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",Agriculture,"The objective of the ""Reactivation Of Fisheries Cooperative Societies"" scheme is to provide a one-time revolving fund of ₹2,00,000/- to each eligible Primary Fishermen Cooperative Society for working capital of the society and improvement of the socio-economic status of the members in the long run.","Society, Fishermen, Financial Assistance",https://www.myscheme.gov.in/schemes/mmky-rfcs
ee415762,"""Subsidy for Orthodox & Speciality Tea Unit for Plant & Machinery"" under the ""Assam Tea Industries Special Incentives Scheme""",Agriculture,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.","Subsidy, Tea, Production, Incentive, Industry, Machinery",https://www.myscheme.gov.in/schemes/sostupm-atisis
df335f20,"""Subsidy for Cultivation of Fodder Crops"" Component of the ""Crop Production Technology"" Scheme",Agriculture,"The ""Subsidy for Cultivation of Fodder Crops"" scheme was introduced by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Through this scheme, cash incentives are distributed to Farmers and Self Help Groups for undertaking fodder cultivation in the Puducherry region.","Subsidy, Cultivation, Fodder, Farmer, Agriculture",https://www.myscheme.gov.in/schemes/scfc-cpt
5d29beb6,"""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Agriculture,"The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is introduced to increase marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets.","Subsidy, Boat, Fisherman, Financial Assistance, Procurement",https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf
9ef232de,"""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme",Agriculture,"The ""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme is introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers are provided Nursery Premium for Raising Seed Material to Plant One Hectare of Sugarcane.","Sugarcane, Nursery, Seed, Financial Assistance, Farmer",https://www.myscheme.gov.in/schemes/snpsscpts
901d3937,AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST,Agriculture,"The scheme “AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","Farmer, Agriculture, Equipment, Mechanization, Financial Assistance",https://www.myscheme.gov.in/schemes/agr2fmsfotscst
c725f9cf,AGR 3 (Farm Mechanization) Scheme For ST Farmers,Agriculture,"The scheme “AGR 3 (Farm Mechanization) Scheme for ST Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","Agriculture, Farmer, Scheduled Tribe, Adivasi, Mechanization, Equipment, Financial Assistance",https://www.myscheme.gov.in/schemes/agr3fmsstf
18f571f1,AGR 4 (Farm Mechanization) Scheme For SC Farmers,Agriculture,"The scheme “AGR 4 (Farm Mechanization) Scheme for SC Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","Agriculture, Farmer, Scheduled Caste, Mechanization, Equipment, Financial Assistance",https://www.myscheme.gov.in/schemes/agr4fmsscf
2eed3fae,AGR-4 Scheduled Castes Sub-Plan for Distribution of Seeds and Fertilizers Input Kits at Subsidised Rates to Scheduled Caste Cultivators,Agriculture,"The scheme aims to provide subsidised seeds, fertilizers, and organic inputs to Scheduled Caste farmers to improve agricultural productivity.","Agriculture, Farmer, Distribution Of Seeds, Fertilizers",https://www.myscheme.gov.in/schemes/scspdsfik
519a95fd,AGR-50 Scheme-Assistance To Purchase Tractors,Agriculture,"The scheme “AGR-50 Scheme-Assistance to Purchase Tractors” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat in the year 2011-12. The scheme was implemented for the farmers to help in buying the tractor in the state.","Agriculture, Farmer, Mechanization, Tractor, Financial Assistance",https://www.myscheme.gov.in/schemes/agr50s-apt
36a7b362,AGR-61 Agro Service Providers for the Purpose of Making Farming More Profitable With the Help of Farm Mechanization,Agriculture,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support farmers in Gujarat by facilitating access to farm implements and mechanization.","Agriculture, Agro Service Providers, Farm Mechanization",https://www.myscheme.gov.in/schemes/agrasp
66b5e4a2,Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,Agriculture,The scheme aims to increase the production of Kufri Chipsona variety suitable for potato processing in Bihar by expanding its area and to increase the income of farmers by promoting processing.,"Agriculture, Subsidy, Plant Supply, Financial Assistance, Potato, Kufri Chipsona Varient",https://www.myscheme.gov.in/schemes/akckvy
9bfdf455,Bakri Palan Yojana,Agriculture,"The scheme aims to promote goat rearing as a source of self-employment and livelihood generation for eligible beneficiaries, particularly from SECC categories, by providing financial support for rearing a goat unit.","Goat Rearing, SECC, Self-Employment, Scheduled Caste, Scheduled Tribe, Subsidy",https://www.myscheme.gov.in/schemes/bpuk
ef6d317b,Balram Talab Yojana,Agriculture,"The scheme aims to conserve rainwater in fields to help farmers, ensuring water availability during irrigation and drought conditions. Farmers receive subsidies up to ₹1,00,000/- for pond construction.","Farmer, Irrigation, Subsidy, Water, Construction",https://www.myscheme.gov.in/schemes/bty
92a138c4,Bari (Kitchen Garden) Scheme,Agriculture,The scheme aims to promote kitchen gardening among poor and small/marginal farmers and agricultural laborers living below the poverty line by providing free vegetable seed packets.,"Kitchen Garden, Horticulture, Vegetable Seeds, Farmer",https://www.myscheme.gov.in/schemes/bkgs
87711f4e,Basic Agriculture Training Centre Scheme,Agriculture,The objective of the scheme is to provide short-term vocational training for rural educated unemployed youths in agriculture and allied sectors to develop entrepreneurship skills and employment generation.,"Agriculture, Training Centre, Vocational Training, Unemployed Youth, Entrepreneurship Skills, Employment, Farmer",https://www.myscheme.gov.in/schemes/batcs
638263c0,Bee Keeping,Agriculture,"The scheme aims to promote beekeeping as a sustainable livelihood by providing subsidized bee boxes, bee colonies, and training support to farmers, thereby increasing honey production, enhancing farm income, and strengthening the beekeeping sector in Uttarakhand.","Bee, Bee Colonies, Bee Boxes, Subsidy, Honey Bees",https://www.myscheme.gov.in/schemes/bk
fbc163bd,Beej Masaale Ki Yojana,Agriculture,The scheme aims to encourage the farmers to cultivate identified seed spices such as coriander and fenugreek keeping in mind their medicinal and nutritional properties.,"Agriculture, Subsidy, Seed Supply, Financial Assistance, Spice Seed, Spice Farming",https://www.myscheme.gov.in/schemes/bmky
4d602905,Beej Swalamban Yojna,Agriculture,Mukhyamantri Beej Swavalamban Yojana was started in the year 2017-18 with the objective of producing quality improved seeds on their farms for their own use by the farmers.,"Seeds, Agriculture, Farmers, Farming Assistance",https://www.myscheme.gov.in/schemes/bsyrj
